la_code,name,imd_2015,pcsmoke_12,pcsmoke_13,pcsmoke_14,pcsmoke_15,pc_pa_12,pc_pa_13,pc_pa_14,pc_pa_15,excess_wt_12_14,dm_10_11,dm_10_11,dm_10_11,dm_10_11,dm_10_11
E07000034,Chesterfield,25.32,18.21,22.50,26.13,18.26,57.08,53.59,51.55,54.79,73.36514984,6.82,7.68,7.34,7.41,7.58
E07000035,Derbyshire Dales,12.26,20.06,11.69,12.14,12.20,59.63,63.57,60.36,58.37,63.34298572,5.70,5.77,5.98,6.03,6.08
E07000036,Erewash,19.91,16.05,23.69,22.46,20.40,54.84,52.27,56.67,58.33,69.32590329,5.84,6.09,6.40,6.50,6.68
E07000037,High Peak,16.09,18.47,21.28,15.38,17.19,58.49,57.42,61.53,56.74,62.17340198,5.04,5.19,5.46,5.65,5.81
E07000038,North East Derbyshire,16.84,18.31,17.22,14.60,20.90,56.49,54.35,55.02,52.81,68.71844785,6.04,6.46,6.78,7.10,7.17
E07000039,South Derbyshire,13.68,15.11,13.13,21.60,13.94,58.81,58.71,59.73,56.66,68.64493695,5.61,5.82,6.17,6.32,6.51
E07000040,East Devon,12.70,12.77,8.32,11.15,9.09,57.11,63.73,60.21,60.90,66.66342794,5.43,5.72,6.60,7.31,7.79
E07000041,Exeter,18.21,12.60,15.37,15.87,14.20,62.62,57.30,64.02,58.55,53.96725363,4.34,4.50,5.14,5.36,5.73
E07000042,Mid Devon,17.13,24.16,19.35,12.90,9.99,57.87,58.20,62.35,60.95,64.71209466,5.25,5.51,6.32,6.90,7.15
E07000043,North Devon,20.68,19.89,19.91,19.86,14.57,54.31,59.40,59.31,60.23,68.073473,5.86,6.10,6.32,6.50,6.92
E07000044,South Hams,14.07,17.04,17.24,12.38,13.01,63.43,57.36,54.43,62.30,66.30727295,4.93,4.99,5.14,5.21,5.51
E07000045,Teignbridge,16.53,19.29,17.02,9.29,12.47,61.22,57.17,60.70,64.15,62.70043497,5.56,5.76,6.07,6.20,6.60
E07000046,Torridge,23.20,20.45,24.35,14.31,12.49,58.29,60.43,61.46,57.70,69.01850028,6.20,6.31,6.62,6.55,6.91
E07000047,West Devon,17.85,17.23,12.45,10.04,12.27,61.28,62.75,57.85,58.62,62.40744168,5.24,5.55,5.96,6.33,6.66
E07000048,Christchurch,12.55,19.51,12.17,17.09,16.56,57.17,55.68,59.72,55.92,63.37594558,6.14,6.44,6.56,6.76,6.76
E07000049,East Dorset,9.31,14.32,15.01,11.68,11.23,57.23,60.86,64.39,52.46,64.94377549,5.62,5.91,6.20,6.44,6.51
E07000050,North Dorset,13.89,18.41,19.47,19.29,18.83,62.02,60.37,58.55,61.85,63.49465984,5.17,5.58,5.79,6.03,6.17
E07000051,Purbeck,13.80,13.08,20.44,17.02,10.55,55.18,61.15,53.80,62.18,66.98561593,6.33,6.51,6.75,6.96,7.06
E07000052,West Dorset,14.24,15.82,17.42,14.72,14.87,52.29,56.51,64.32,59.69,62.63883865,4.81,4.98,5.50,5.41,5.55
E07000053,Weymouth and Portland,23.57,20.72,12.34,18.19,19.82,55.53,49.10,56.83,59.03,68.46654801,5.68,5.85,6.17,6.39,6.65
E07000061,Eastbourne,21.32,23.81,21.89,18.42,18.84,54.76,53.16,59.38,55.94,64.51421914,5.05,5.23,5.48,5.65,5.75
E07000062,Hastings,33.11,28.13,24.52,22.03,25.63,56.47,54.75,55.49,54.52,64.16975647,5.39,5.57,5.80,6.17,6.34
E07000063,Lewes,15.07,16.55,17.46,17.81,17.72,62.75,60.26,60.01,57.58,64.57274515,5.57,5.75,5.84,6.06,6.16
E07000064,Rother,18.55,11.93,12.88,14.51,15.71,61.57,53.69,57.61,60.18,65.80834413,6.10,6.27,6.55,6.81,6.91
E07000065,Wealden,11.23,14.33,12.56,15.64,14.33,63.49,62.65,62.39,62.92,63.83741805,5.22,5.47,5.62,5.74,5.76
E07000066,Basildon,23.62,20.41,17.62,17.90,17.80,56.35,56.26,55.44,51.82,69.10919105,5.73,5.98,6.21,6.35,6.42
E07000067,Braintree,15.31,18.98,17.85,13.55,20.17,57.75,56.19,54.87,59.68,67.98116984,5.34,5.54,5.74,6.09,6.18
E07000068,Brentwood,9.88,7.67,10.85,13.31,16.05,63.25,62.75,62.12,61.24,65.03908814,4.47,4.65,4.78,4.87,4.97
