la_code,p_cycle_25_74,p_walk_25_74,m_cycle_25_74,m_walk_25_74,f_cycle_25_74,f_walk_25_74
E09000013,4.967112096,11.50591982,5.920131089,8.946269525,3.918203502,14.32311362
E09000014,2.706204291,5.468106747,3.793612701,4.022060181,1.505655763,7.064608173
E09000019,5.096964891,14.63484969,6.350030043,12.57442508,3.695672093,16.93900614
E09000020,2.818271576,11.79143919,3.151277014,9.495743287,2.404143727,14.64638238
E09000022,4.401153761,6.768138451,5.646322274,5.165891058,2.99601413,8.576232125
E09000023,1.906645011,6.067973408,2.835900973,3.765233387,0.873474083,8.628219604
E09000025,1.43412094,7.201236407,1.969807645,4.280496713,0.718675815,11.10207798
E09000028,3.867438799,10.96969632,5.221027479,8.783353246,2.293928381,13.51126131
E09000030,3.19531354,15.6537079,3.733798184,13.85835184,2.414257167,18.25781983
E09000032,4.043403863,7.22629899,5.19558171,5.253799918,2.780938588,9.387607324
E09000033,2.911154559,19.45128609,3.43358396,18.11346548,2.253698819,21.13487785
E09000002,1.539689161,6.875102011,2.173059301,3.249770912,0.752491357,11.38092333
E09000003,0.901168703,5.378850697,1.301219355,3.691096845,0.422629581,7.397735668
E09000004,0.985730485,5.260971584,1.500833797,2.44168571,0.367919403,8.642402094
E09000005,1.720444899,6.074123565,2.412986253,4.286706639,0.915618627,8.151342624
E09000006,0.903891082,5.492628696,1.352774523,3.063025646,0.370285472,8.380794527
E09000008,1.011893803,7.601723313,1.608873095,5.039007191,0.337270774,10.49774891
E09000009,2.200779962,6.257387529,2.893628382,4.531027527,1.380376179,8.301575315
E09000010,1.164458375,5.821342072,1.755836661,3.534544943,0.47062709,8.504314082
E09000011,1.488814704,6.416996022,2.23768558,3.841479399,0.621203755,9.40088349
E09000015,0.840237657,5.697678507,1.178228758,3.686296593,0.441754762,8.069046525
E09000016,0.892746991,5.827529356,1.292443392,2.523633542,0.405613895,9.854178072
E09000017,1.670563316,6.001838419,2.279118496,3.705405554,0.945729985,8.737056415
E09000018,2.890427643,7.211972212,3.814668949,5.004433264,1.774735532,9.876789048
E09000021,3.032611061,8.154319644,3.737342397,5.384593687,2.167514975,11.55430906
E09000024,2.310310407,6.270670724,3.174250832,4.184239734,1.288747736,8.737762146
E09000026,0.890697044,5.144561975,1.226741797,2.66087535,0.472433275,8.235924411
E09000027,3.8217115,6.687062394,4.492766851,4.871537444,3.017795151,8.862039745
E09000029,1.796844005,7.221930711,2.637143332,4.122021335,0.81562448,10.84170227
E09000031,1.788682043,6.665710152,2.537529189,3.778494385,0.917976831,10.02275548
E06000036,2.591295261,7.379095466,3.307257107,5.437591674,1.701462737,9.792091671
E06000043,2.635746944,15.22975625,3.410869644,12.59692039,1.698681981,18.4126565
E06000046,2.957102082,15.13599731,4.353413029,10.84459328,1.324714344,20.15295671
E06000035,1.300128726,8.624616299,1.944405199,4.487496468,0.477843394,13.90479196
E06000042,2.791751051,5.949347793,3.707662767,3.774966843,1.672111313,8.60738052
E06000044,7.045061625,12.76560147,9.394238808,8.254161283,4.170154714,18.28667101
E06000038,3.870533368,13.57067788,4.929638512,10.26381946,2.476320895,17.92384648
E06000039,2.773388436,9.189254892,3.664447981,6.782665316,1.639193296,12.25250944
E06000045,4.204701923,11.33918099,5.714545289,7.590624148,2.272727273,16.13578238
E06000037,2.533968799,7.600426275,3.242325347,5.038605429,1.640277173,10.83252435
E06000040,2.45982344,7.803347629,2.913030394,5.856154078,1.895628067,10.22740044
E06000041,2.435562621,4.662484387,2.990950458,2.955161307,1.742293701,6.793669028
E07000004,2.003011847,8.068019777,2.479378942,5.688985929,1.422361534,10.9678564
E07000005,0.912967274,5.7969498,1.189184088,3.982822897,0.569382484,8.053533693
E07000006,1.390701316,4.873047239,1.740294511,3.239625167,0.951098392,6.927026345
E07000007,1.398799411,7.161060143,1.930580187,5.431973651,0.725242282,9.35113279
E07000061,3.214975769,12.0521998,4.436640328,9.025460931,1.774126743,15.62197984
E07000062,1.339665902,13.06911235,2.048885694,9.501557632,0.484174014,17.37245267
E07000063,1.56314958,9.794628752,2.244750181,6.81700631,0.776258434,13.2322207
E07000064,1.313695615,9.236499069,1.754495896,5.595588696,0.795521509,13.51649971
E07000065,0.984231321,6.365162057,1.327927985,3.897596323,0.568115942,9.352657005
E07000084,2.327204702,7.514902766,3.284249673,5.098502362,1.130830847,10.53557405
E07000085,1.933175722,7.169906061,2.3960217,4.694092827,1.355102809,10.26208065
E07000086,2.592100449,5.941032603,3.529619805,3.282051282,1.471334348,9.119736175
E07000087,3.537270703,5.157459442,4.477205539,2.82013381,2.410593556,7.959155127
E07000088,10.73318704,9.28423906,13.61016351,6.640395248,7.235807236,12.4982125
E07000089,2.406328695,5.125530995,3.036601898,3.637596023,1.594599313,7.041843683
E07000090,3.472496598,6.534527416,4.306530828,3.275561148,2.49032073,10.37235314
E07000091,4.085712593,6.016763417,4.765159385,3.466564602,3.282714055,9.030694669
E07000092,3.877136369,8.347077806,5.361087511,6.015293118,1.967750752,11.34736267
E07000093,2.747846986,7.63268576,3.797514487,5.120448996,1.467253568,10.69761238
E07000094,1.726590367,10.25669081,2.274522192,8.174064129,1.045501399,12.84543268
E07000105,2.53375211,7.995030939,3.520525732,5.133566613,1.33125325,11.48205928
E07000106,2.943748178,11.96236,3.77569949,8.761014067,1.972199657,15.70087553
E07000107,1.064710101,7.12748938,1.620785957,4.29882306,0.376496729,10.62831749
E07000108,2.616650483,11.19486891,3.3166162,7.730885693,1.794643849,15.26280698
E07000109,1.277989016,7.546472328,1.906289813,3.807861086,0.479645063,12.29690029
E07000110,1.152085241,9.09847665,1.614742782,5.459511375,0.575765506,13.6314353
E07000111,0.823224514,6.587973953,1.126705653,4.003898635,0.439137514,9.858390487
E07000112,2.049837008,11.05033427,2.544130292,7.895402357,1.454921775,14.84750715
E07000113,2.67241921,9.768152973,3.432160616,5.608105582,1.704761905,15.06666667
E07000114,3.109528974,11.6318544,4.062800665,7.443365696,1.994680851,16.53027823
E07000115,1.618025751,7.401287554,2.155957967,4.416611734,0.951419922,11.09989909
E07000116,1.11061252,11.48754768,1.47718926,7.589977965,0.662878788,16.24800638
E07000177,3.757845917,8.902145233,4.516628457,6.198826927,2.828813065,12.21201516
E07000178,15.45632084,13.00811371,16.87516535,10.72224952,13.83886256,15.6139595
E07000179,3.673593821,7.684230137,4.222147052,5.304591162,3.001055648,10.6017192
E07000180,6.541822722,6.762700471,7.191994997,4.721701063,5.73809217,9.285744964
E07000181,4.830939726,7.357231709,5.468396129,4.85896644,4.054189664,10.40140492
E07000207,2.415568681,4.600181736,2.681001176,3.168150512,2.072943319,6.448675138
E07000208,2.206134633,6.676730941,2.78563793,4.552600138,1.510231821,9.227516424
E07000209,2.33028847,8.321453086,3.087570711,6.491167083,1.378406292,10.62207039
E07000210,1.471347445,7.402627201,1.979177404,5.32934749,0.834195551,10.00387998
E07000211,1.485174962,7.080402457,2.039301733,4.911103224,0.802734065,9.752026705
E07000212,2.941351416,6.4388532,3.388288192,4.378546194,2.382545844,9.014857449
E07000213,2.825217137,5.879769689,3.618758645,3.957877828,1.867901168,8.198309738
E07000214,1.729862896,5.43059126,2.28816417,3.723686112,1.031052156,7.567078686
E07000215,0.762107443,5.751754285,1.006587615,3.604743083,0.468443375,8.330695702
E07000216,1.561493883,6.867755956,1.816405543,4.559105547,1.242123396,9.760188585
E07000217,2.386397534,6.778860495,2.736561528,4.757885384,1.941528389,9.346427362
E07000223,3.780229105,7.62409843,4.573459716,4.289099526,2.859761687,11.49404216
E07000224,4.600290143,8.082003512,4.7977224,5.753752065,4.365626436,10.84931278
E07000225,4.023830687,9.748480553,4.22908657,7.375491626,3.779345194,12.5750079
E07000226,2.786113291,6.638659342,3.884360672,3.871625064,1.477284225,9.936254174
E07000227,1.726690602,7.783987859,2.09962254,4.839579401,1.272473524,11.37016665
E07000228,1.3560998,8.23901259,1.845833875,4.946054855,0.773365299,12.1573025
E07000229,4.825497168,10.9495588,5.515822475,7.45076908,4.022562817,15.01908723
E06000022,2.405076098,13.3262029,3.53702911,9.968964041,1.075099808,17.2707554
E06000028,3.55823546,9.165603724,4.480509631,6.828454421,2.44872637,11.97722794
E06000023,4.537711744,13.92542822,6.372002755,10.33869655,2.385674203,18.13347436
E06000052,1.589668229,11.68921021,2.432989691,7.83406971,0.574440925,16.33019715
E06000053,12.53430924,35.59011894,11.82608696,30.26086957,13.32046332,41.50579151
E06000024,2.387759833,7.478814105,2.949866452,4.320797977,1.714819321,11.25951498
E06000026,2.645157664,11.68006295,4.535958798,8.678925269,0.394011032,15.25315209
E06000029,4.033012083,7.708213464,5.903210979,5.325366078,1.768821051,10.59305191
E06000025,2.862199108,6.517146108,4.280614363,3.827314238,1.171604425,9.723129292
E06000030,5.001181283,9.186655227,7.045643714,6.265043979,2.474421708,12.79748665
E06000027,1.402788285,13.79444504,2.189545124,9.287387897,0.497419925,18.98098647
E06000054,3.543450972,10.42431369,4.745126794,7.63524516,2.037333206,13.91998663
E07000040,1.96172772,10.41006014,2.586910397,6.736575812,1.239572041,14.65334402
E07000041,4.359596714,16.28780807,6.439923158,12.02846664,1.970517449,21.17930205
E07000042,2.158248458,10.80856371,2.82725832,7.435816165,1.352073944,14.87281338
E07000043,3.430416946,14.70802176,5.093934514,9.865807837,1.461338077,20.43967215
E07000044,1.05684352,11.40841199,1.665435116,7.940658216,0.349927374,15.43641886
E07000045,1.197018104,9.548455804,1.818473767,5.636064389,0.494577794,13.97068833
E07000046,1.200125386,12.8789575,1.909424725,8.551611587,0.33743549,18.14211989
E07000047,1.007799048,11.69857186,1.483404413,8.307064714,0.435267857,15.78125
E07000048,4.037795276,6.973228346,4.952113992,4.543330997,2.967318474,9.818132094
E07000049,2.418220728,4.533781718,3.160168239,2.552006366,1.554644086,6.840433977
E07000050,2.5,11.7903752,3.349001175,9.173031727,1.439838591,15.05869406
E07000051,3.377246846,10.36061181,4.673757415,7.077111884,1.819075713,14.30678466
E07000052,2.465699505,12.46907332,3.328479301,8.726856667,1.450428397,16.87270502
E07000053,3.189224597,11.47547695,4.645752026,8.293305314,1.441181769,15.29454152
E07000078,6.831826805,13.7373061,8.153017065,10.45970442,5.238540692,17.68992172
E07000079,2.810277587,10.56721725,3.159361933,7.335708017,2.374040384,14.60550932
E07000080,1.218581071,8.246037321,1.84184405,4.880335282,0.444931207,12.42384831
E07000081,5.733685402,9.330552289,7.363400896,5.722978251,3.822792133,13.56054763
E07000082,1.76862796,8.061653029,2.341163487,4.875453256,1.070982615,11.94409759
E07000083,4.85531978,6.90310135,6.125115697,5.079762618,3.333768267,9.087943633
E07000187,2.572414758,11.27617893,3.294137624,7.428789744,1.692458982,15.96708245
E07000188,5.760209549,8.541493035,6.640422218,5.13064544,4.682451401,12.71783463
E07000189,3.652842626,11.62899656,5.546032945,8.079370152,1.281118067,16.07584801
E07000190,6.371625863,11.49258776,7.506251421,8.020004546,5.086752819,15.42501158
E07000191,3.253480091,14.17934607,4.508443908,10.78106152,1.79944095,18.11670161
W06000001,1.704520494,9.207925142,2.744466801,5.762575453,0.454633391,13.34881021
W06000002,1.450818252,12.62409943,2.062755547,8.77934488,0.735609966,17.11769759
W06000003,1.599519883,9.73541384,2.166064982,6.087730577,0.966690604,13.80986577
W06000004,1.743679163,10.17647236,2.440126525,6.309308631,0.951217945,14.57677229
W06000005,1.648139765,6.382978723,2.591693055,3.301872291,0.516300339,10.07892019
W06000006,1.527957719,7.966767434,2.346351801,4.545110506,0.553979192,12.03891366
W06000023,1.208035114,11.89845387,1.771539905,8.767498918,0.524888461,15.69416499
W06000008,0.891026652,10.39662514,1.313522825,8.706574792,0.376137159,12.45626312
W06000009,0.717454684,10.30295348,1.139441487,6.677874288,0.21629416,14.60817481
W06000010,0.945513911,8.281749541,1.517210861,5.357650852,0.279751169,11.68697317
W06000011,1.120130304,8.221409308,1.822896996,5.279854974,0.326843825,11.54185022
