msoa_code,imd15_score
E02000740,36.76
E02000741,30.82
E02000742,33.26
E02000743,45.04
E02000744,37.60
E02000745,33.26
E02000746,32.60
E02000747,35.73
E02000748,29.43
E02000749,47.23
E02000750,25.61
E02000751,7.65
E02000752,31.36
E02000753,25.83
E02000754,16.97
E02000755,18.38
E02000756,19.43
E02000757,11.09
E02000758,17.91
E02000759,18.10
E02000760,21.73
E02000762,12.01
E02000763,20.58
E02000764,12.74
E02000765,14.27
E02000767,17.92
E02000768,11.21
E02000769,20.80
E02000770,18.96
E02000772,23.47
E02000773,18.46
E02000774,25.46
E02000776,20.54
E02000777,19.87
E02000779,32.07
E02000780,28.45
E02000781,20.49
E02000782,33.94
E02000783,35.12
E02000784,10.58
E02000785,6.51
E02000786,11.15
E02000787,13.61
E02000788,6.67
E02000789,10.30
E02000790,5.87
E02000791,6.84
E02000792,7.06
E02000793,12.01
E02000794,7.12
E02000795,8.73
E02000796,16.60
E02000797,7.75
E02000798,10.09
E02000799,6.53
E02000800,17.03
E02000801,6.21
E02000802,8.43
E02000803,18.16
E02000804,7.67
E02000805,9.94
E02000806,9.81
E02000807,14.53
E02000808,21.81
E02000809,17.05
E02000810,31.95
E02000812,29.67
E02000813,34.37
E02000814,19.53
E02000815,30.00
E02000816,34.65
E02000817,42.87
E02000818,39.10
E02000819,36.74
E02000820,31.56
E02000821,38.89
E02000822,38.75
E02000823,34.50
E02000824,36.63
E02000825,36.59
E02000826,34.06
E02000827,36.21
E02000828,39.05
E02000829,39.14
E02000830,24.84
E02000831,28.77
E02000832,34.39
E02000833,23.77
E02000834,19.79
E02000835,24.57
E02000836,15.35
E02000837,11.09
E02000838,20.11
E02000839,23.92
E02000840,31.88
E02000841,29.46
E02000842,10.43
E02000843,15.97
E02000844,20.98
E02000845,8.95
E02000846,11.59
E02000847,6.46
E02000848,7.22
E02000849,14.36
E02000850,11.98
E02000851,24.08
E02000852,10.09
E02000853,12.81
E02000854,10.76
E02000855,5.70
E02000856,12.55
E02000857,11.82
E02000858,34.35
E02000859,12.90
E02000860,21.18
E02000861,4.80
E02000863,12.26
E02000864,42.88
E02000865,44.40
E02000866,29.93
E02000867,31.80
E02000868,34.22
E02000869,39.96
E02000870,36.70
E02000871,43.46
E02000872,37.37
E02000873,31.55
E02000874,42.78
E02000875,43.89
E02000876,42.26
E02000877,43.63
E02000878,37.07
E02000879,38.03
E02000880,43.23
E02000881,51.39
E02000882,43.35
E02000883,52.43
E02000884,31.55
E02000885,45.39
E02000886,31.84
E02000887,45.40
E02000888,31.52
E02000889,27.36
E02000890,11.78
E02000891,22.92
E02000893,26.16
E02000894,16.76
E02000895,26.71
E02000896,17.92
E02000897,30.95
E02000898,27.28
E02000899,23.53
E02000900,31.41
E02000901,17.96
E02000902,27.97
E02000903,40.41
E02000904,24.62
E02000905,25.95
E02000906,30.15
E02000907,44.72
E02000908,26.95
E02000909,27.48
E02000910,29.93
E02000911,36.32
E02000912,33.43
E02000913,27.03
E02000914,42.38
E02000915,27.24
E02000916,33.35
E02000917,26.31
E02000918,29.71
E02000919,25.32
E02000920,35.61
E02000921,37.02
E02000922,28.94
E02000923,14.15
E02000924,28.36
E02000925,31.43
E02000926,18.28
E02000927,24.92
E02000928,9.76
E02000929,36.92
E02000930,16.70
E02000931,9.61
E02000932,11.53
E02000933,11.55
E02000934,15.46
E02000935,29.93
E02000936,14.64
E02000937,10.32
E02000938,23.77
E02000939,8.01
E02000940,21.72
E02000941,13.56
E02000942,8.83
E02000943,12.28
E02000944,26.26
E02000945,29.58
E02000946,18.57
E02000947,7.91
E02000948,16.23
E02000949,12.37
E02000950,12.60
E02000951,19.89
E02000952,22.09
E02000953,13.12
E02000954,18.95
E02000955,28.02
E02000956,26.34
E02000957,21.88
E02000958,17.23
E02000959,25.09
E02000960,14.25
E02000961,25.01
E02000962,25.19
E02000963,42.16
E02000964,38.90
E02000965,22.64
E02000966,18.70
E02000967,13.71
E02000968,52.96
E02000969,51.99
E02000970,13.66
E02000971,22.64
E02000972,26.40
E02000973,24.97
E02000974,26.48
E02000975,20.54
E02000976,25.38
E02000977,23.12
E02000978,11.62
